R10,56.30,17.10,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,116.60,54.50,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,144.40,16.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,90.80,61.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,115.96,44.10,270.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,9.60,100.50,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,156.05,57.49,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,147.83,57.19,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,120.20,51.10,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,150.70,9.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,84.50,46.90,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,63.70,19.70,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,62.40,25.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,45.70,33.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,49.50,32.80,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,41.80,33.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,33.10,50.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,62.10,15.30,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,107.65,180.00,BUTTON_CUSYOMV1BUTTONMODEL,MYBUTTON
R_BOOT,41.60,106.80,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.70,64.10,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHARGE,58.70,106.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,70.40,29.90,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,19.00,106.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,151.41,15.80,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,14.70,100.00,0.00,,SJ
TP1,89.00,107.20,0.00,TP,TP20R
TP10,100.30,16.00,90.00,TP,TP20R
TP11,71.00,12.50,90.00,TP,TP20R
TP12,100.20,12.69,90.00,TP,TP20R
TP13,72.60,36.80,90.00,TP,TP20R
TP14,125.70,59.50,90.00,TP,TP20R
TP15,96.90,64.80,90.00,TP,TP20R
TP16,140.70,43.50,90.00,TP,TP20R
TP17,94.60,42.40,90.00,TP,TP20R
TP2,12.90,68.80,0.00,TP,TP20R
TP3,137.39,62.06,180.00,TP,TP20R
TP4,84.30,107.80,0.00,TP,TP20R
TP5,78.40,107.80,0.00,TP,TP20R
TP6,32.00,63.10,0.00,TP,TP20R
TP7,54.70,53.00,0.00,TP,TP20R
TP8,54.10,56.60,0.00,TP,TP20R
TP9,100.30,18.90,0.00,TP,TP20R
U$2,49.00,107.65,180.00,BUTTON_CUSYOMV1BUTTONMODEL,MYBUTTON
U1,43.60,59.00,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,55.20,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.20,55.80,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,138.10,56.10,0.00,MAX17048G+T10,SON50P200X200X80-9N
